D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\audio.py:docstring of pyunity.audio.AudioSource.playOnStart:1: WARNING: duplicate object description of pyunity.audio.AudioSource.playOnStart, other instance in api/pyunity.audio, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\audio.py:docstring of pyunity.audio.AudioSource.clip:1: WARNING: duplicate object description of pyunity.audio.AudioSource.clip, other instance in api/pyunity.audio, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\core.py:docstring of pyunity.core.Transform.localPosition:1: WARNING: duplicate object description of pyunity.core.Transform.localPosition, other instance in api/pyunity.core, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\core.py:docstring of pyunity.core.Transform.localRotation:1: WARNING: duplicate object description of pyunity.core.Transform.localRotation, other instance in api/pyunity.core, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\core.py:docstring of pyunity.core.Transform.localScale:1: WARNING: duplicate object description of pyunity.core.Transform.localScale, other instance in api/pyunity.core, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\core.py:docstring of pyunity.core.Transform.parent:1: WARNING: duplicate object description of pyunity.core.Transform.parent, other instance in api/pyunity.core, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\core.py:docstring of pyunity.core.Light.intensity:1: WARNING: duplicate object description of pyunity.core.Light.intensity, other instance in api/pyunity.core, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\core.py:docstring of pyunity.core.MeshRenderer.mesh:1: WARNING: duplicate object description of pyunity.core.MeshRenderer.mesh, other instance in api/pyunity.core, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\core.py:docstring of pyunity.core.MeshRenderer.mat:1: WARNING: duplicate object description of pyunity.core.MeshRenderer.mat, other instance in api/pyunity.core, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\physics\core.py:docstring of pyunity.physics.core.SphereCollider.min:1: WARNING: duplicate object description of pyunity.physics.core.SphereCollider.min, other instance in api/pyunity.physics.core, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\physics\core.py:docstring of pyunity.physics.core.SphereCollider.max:1: WARNING: duplicate object description of pyunity.physics.core.SphereCollider.max, other instance in api/pyunity.physics.core, use :noindex: for one of them
